operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.184            0.223         0.758           2.170    
OperationGenerateGraph                                314.734            0.000       314.734         314.734    
OperationShutdownGraph                                  7.435           34.529         0.086         180.054    
OperationDoGC                                        3457.700            6.001      3446.072        3472.975    
OperationGetManyVertices                                1.629            0.000         1.629           1.629    
OperationGetManyVertexProperties                       19.159            0.000        19.159          19.159    
OperationGetManyEdges                                   6.390            0.000         6.390           6.390    
OperationGetManyEdgeProperties                         19.434            0.000        19.434          19.434    
OperationGetFirstNeighbor                               0.019            0.005         0.011           0.102    
OperationGetRandomNeighbor                              0.040            0.017         0.009           0.194    
OperationGetAllNeighbors                                0.050            0.042         0.008           0.727    
OperationGetKFirstNeighbors                             0.028            0.012         0.008           0.120    
OperationGetKRandomNeighbors                            0.044            0.034         0.009           0.458    
OperationGetKHopNeighbors                               1.313            3.249         0.008          19.342    
OperationGetShortestPath                                5.489            7.705         0.010          26.221    
OperationGlobalClusteringCoefficient                  625.520            0.000       625.520         625.520    
OperationNetworkAverageClusteringCoefficient          195.438            0.000       195.438         195.438    
