operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1070969.2142857143;129807.8441071255;718789.0;1290625.0;
OperationGenerateGraph;3.41159024E8;0.0;3.41159024E8;3.41159024E8;
OperationShutdownGraph;1.0015316714285715E7;3.428117972332995E7;86442.0;1.33607423E8;
OperationDoGC;3.454095996928571E9;5446433.917942868;3.448083E9;3.46635411E9;
OperationGetManyVertices;1673128.0;0.0;1673128.0;1673128.0;
OperationGetManyVertexProperties;1.9617964E7;0.0;1.9617964E7;1.9617964E7;
OperationGetManyEdges;6509064.0;0.0;6509064.0;6509064.0;
OperationGetManyEdgeProperties;1.8367728E7;0.0;1.8367728E7;1.8367728E7;
OperationGetFirstNeighbor;27374.184;8113.340413057003;11258.0;73172.0;
OperationGetRandomNeighbor;43708.753;26542.66159265101;9250.0;458155.0;
OperationGetAllNeighbors;45007.776;34792.13464295951;8952.0;367904.0;
OperationGetKFirstNeighbors;38659.714;13642.394641711702;12370.0;102649.0;
OperationGetKRandomNeighbors;39867.201;25586.109794859378;10661.0;237178.0;
OperationGetKHopNeighbors;150669.865;178047.88296824752;11076.0;2784927.0;
OperationGetShortestPath;7630406.902;8772047.489365652;11684.0;2.5910665E7;
OperationGlobalClusteringCoefficient;6.9088667E8;0.0;6.9088667E8;6.9088667E8;
OperationNetworkAverageClusteringCoefficient;2.41104716E8;0.0;2.41104716E8;2.41104716E8;
