id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];205331114;DONE;1399320;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];3309151;DONE;26487047;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];18256;DONE;26487047;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3421969820;DONE;19845631;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];165784902;DONE;20114351;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];746502934;DONE;45520415;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];179727594;DONE;45520415;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3475157308;DONE;19959511;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1157511;DONE;20228231;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1584457;1000;47279823;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];958823;DONE;47279823;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3463319812;DONE;32044863;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1063732;DONE;32475847;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];26513066;1000;47564199;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1042990;DONE;47564199;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3479674751;DONE;31976407;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1125491;DONE;32407391;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];3872882;1000;42883095;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1322311;DONE;42883095;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3468952065;DONE;31976799;
