id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];34312727;DONE;1399256;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@4d74f02c];395491519;addVertex=100:addVertex_ns=6376.61:getVertex=487:getVertex_ns=2524.0739219712527:addEdge=500:addEdge_ns=18762.506;41825295;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];113965172;DONE;41825295;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3464768829;DONE;31655335;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1058615;DONE;31924055;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1691175;1000;47241095;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];847696;DONE;47241095;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3450800045;DONE;31655519;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1044642;DONE;31924239;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];26340475;1000;49662127;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];955368;DONE;49662127;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3450945960;DONE;31656271;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];845590;DONE;31924991;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];7680947;1000;58878359;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1534140;DONE;58878359;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3459816522;DONE;32015087;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];720466;DONE;32686847;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];27202209;1000;60330255;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1001178;DONE;60330255;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3462655366;DONE;31622311;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1167465;DONE;32526799;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[324];1298336;v[438];48807719;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[317];81219;v[324];48807719;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[206];41847;v[492];48807719;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1035];42823;v[67];48807719;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[913];40829;v[942];48807719;
