id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];40442269;DONE;1399256;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@6fef3212];424235096;addVertex=100:addVertex_ns=5788.54:getVertex=491:getVertex_ns=2356.040733197556:addEdge=500:addEdge_ns=20776.728;46721567;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];160044783;DONE;46721567;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3458575660;DONE;31710159;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1094983;DONE;32142575;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1733975;1000;55493063;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];880003;DONE;55493063;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3443992468;DONE;31710343;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];653896;DONE;32142759;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];22872663;1000;55927791;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];819793;DONE;55927791;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3458672584;DONE;31676495;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1100026;DONE;32108911;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];6999961;1000;40536615;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1719639;DONE;40536615;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3449103390;DONE;31676943;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];710958;DONE;32484063;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];21844407;1000;44395479;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1016244;DONE;44395479;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3451386458;DONE;31677199;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1312717;DONE;32643583;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1402];1267615;v[126];54870415;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1031];46234;v[234];54870415;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[735];42627;v[875];54870415;
