id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];140805778;DONE;20842271;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2629938;DONE;20842271;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2803;DONE;20842271;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3449976084;DONE;19605407;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];216452305;DONE;20680215;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];361297740;DONE;44339583;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];158400141;DONE;44339583;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3460293921;DONE;19630367;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1124272;DONE;20705175;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1421237;1000;46736127;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1139099;DONE;46736127;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3470842551;DONE;31712183;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1097859;DONE;32548559;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];28963605;1000;46767495;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1193297;DONE;46767495;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3465053110;DONE;31712215;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1030434;DONE;32548591;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];3754646;1000;41136639;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1700718;DONE;41136639;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3463121256;DONE;31712327;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1090993;DONE;32636519;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];24446464;1000;43688239;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1440753;DONE;43688239;
