id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];207771284;DONE;20864663;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];3386788;DONE;20864663;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2230;DONE;20864663;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3460746546;DONE;19606839;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];148040161;DONE;20681647;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];345241661;DONE;44338079;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];166701960;DONE;44338079;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3473726108;DONE;19631799;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1102741;DONE;20706607;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1477212;1000;46737559;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1094901;DONE;46737559;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3485095443;DONE;31713615;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1205685;DONE;32549991;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];21013079;1000;47606319;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1173886;DONE;47606319;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3488620523;DONE;31713647;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1064342;DONE;32550023;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];3445863;1000;41136479;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1318797;DONE;41136479;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3501172614;DONE;31713759;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1071425;DONE;32637951;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];23982437;1000;44679439;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1754191;DONE;44679439;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3478516406;DONE;31713735;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];754805;DONE;32696151;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[542];63463;v[648];44485143;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[440];80645;v[478];44485143;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[215];30709;v[419];44485143;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[110];35379;v[562];44485143;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[128];30473;v[199];44485143;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[404];30974;v[653];44485143;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[362];33470;v[477];44485143;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[917];12986;DNE;44485143;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[273];31266;v[363];44485143;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[241];29141;v[271];44485143;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[521];27659;v[604];44485143;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[164];24594;v[218];44485143;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[911];18394;DNE;44485143;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[47];26169;v[74];44485143;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[758];24937;v[777];44485143;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[266];18321;v[605];44485143;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[574];17890;DNE;44485143;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[709];16781;DNE;44485143;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[690];24176;v[860];44485143;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[687];24827;v[839];44485143;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[935];18354;v[949];44485143;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[560];18309;v[773];44485143;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[169];18049;v[191];44485143;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[214];18318;v[733];44485143;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[194];18212;v[454];44485143;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[707];18469;v[767];44485143;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[272];18343;v[375];44485143;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[853];25245;v[871];44485143;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[851];11855;DNE;44485143;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[921];11269;DNE;44485143;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[633];23716;v[838];44485143;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[529];18286;v[719];44485143;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[211];18212;v[229];44485143;
58;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[7];24754;v[15];44485143;
59;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[237];24375;v[241];44485143;
60;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[309];24726;v[369];44485143;
61;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[642];22336;DNE;44485143;
62;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[805];23627;v[940];44485143;
63;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[336];24546;v[421];44485143;
64;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[983];11954;DNE;44485143;
65;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[225];23881;v[615];44485143;
66;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[301];29421;v[408];44485143;
67;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[69];27168;v[84];44485143;
68;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[690];18211;v[860];44485143;
69;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[923];11861;DNE;44485143;
70;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[860];16658;DNE;44485143;
