id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1290625;DONE;20787239;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@6fef3212];341159024;addVertex=100:addVertex_ns=3207.44:getVertex=492:getVertex_ns=2197.3861788617887:addEdge=500:addEdge_ns=18898.5;45554863;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];133607423;DONE;45554863;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3457436985;DONE;31691567;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];865708;DONE;32766375;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1673128;1000;54262535;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];835957;DONE;54262535;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3466354110;DONE;31694679;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1040405;DONE;32769487;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];19617964;1000;56415295;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];990626;DONE;56415295;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3461088608;DONE;31694703;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1071590;DONE;32769511;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];6509064;1000;40442615;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1482156;DONE;40442615;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3450524287;DONE;31694823;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1163880;DONE;32769631;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];18367728;1000;44754039;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];904619;DONE;44754039;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3451884571;DONE;31694791;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1125940;DONE;32769599;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1673];73172;v[105];55340567;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[440];71235;v[478];55340567;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1058];58501;v[94];55340567;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[930];55082;DNE;55340567;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[508];31377;v[846];55340567;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[356];49770;v[870];55340567;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1501];34379;v[1];55340567;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[927];25056;DNE;55340567;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[609];18995;v[739];55340567;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[184];19795;v[214];55340567;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[877];32545;v[997];55340567;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[696];19938;v[875];55340567;
