id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1348930;DONE;20791599;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@417cff66];361856849;addVertex=100:addVertex_ns=5372.91:getVertex=491:getVertex_ns=3974.4215885947046:addEdge=500:addEdge_ns=22111.706;46634287;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];161818597;DONE;46634287;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455134168;DONE;31704111;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1142669;DONE;32540487;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1537594;1000;55959015;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];918958;DONE;55959015;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3462654477;DONE;31703991;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1050583;DONE;32540367;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];15952881;1000;57633679;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];929854;DONE;57633679;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3451608422;DONE;31704023;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1045614;DONE;32540399;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];6409971;1000;45629159;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1596367;DONE;45629159;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3453704908;DONE;31704135;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1130094;DONE;32686543;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];21294810;1000;46404679;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];812726;DONE;46404679;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3448846744;DONE;31704103;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1132013;DONE;32742247;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1860];103236;v[17];55581415;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1001];36140;v[98];55581415;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[484];33584;v[538];55581415;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8];29061;v[12];55581415;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[940];28578;DNE;55581415;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[125];31475;v[435];55581415;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1582];32444;v[464];55581415;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[45];19344;v[61];55581415;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1042];25539;v[286];55581415;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1206];25244;v[1];55581415;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1535];24849;v[63];55581415;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1952];25165;v[133];55581415;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[732];19133;DNE;55581415;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1081];30014;v[125];55581415;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[331];27416;v[337];55581415;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1362];25424;v[72];55581415;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[390];25468;v[427];55581415;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1069];18680;v[92];55581415;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[247];25430;v[316];55581415;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[394];25990;v[800];55581415;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1316];27097;v[262];55581415;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[135];18881;v[169];55581415;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1061];26137;v[29];55581415;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[545];25899;v[663];55581415;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[901];12554;DNE;55581415;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1580];18721;v[79];55581415;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1623];25568;v[93];55581415;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1837];19468;v[212];55581415;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[16];26169;v[29];55581415;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1664];25567;v[40];55581415;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[897];12315;DNE;55581415;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1658];24924;v[41];55581415;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1454];25434;v[20];55581415;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1043];19226;v[82];55581415;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[14];25792;v[16];55581415;
