operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;2.5113744366666666E8;5.150272582993975E8;4.1741E7;1.571756407E9;
OperationDeleteGraph;4.5511617E8;0.0;4.5511617E8;4.5511617E8;
OperationShutdownGraph;4.2365317593333334E8;1.2007240725187163E8;3261.0;5.78753206E8;
OperationDoGC;3.6113292594E9;7423382.103457847;3.600958339E9;3.628772366E9;
OperationLoadGraphML-barabasi_1000_5000;8.50222443E8;0.0;8.50222443E8;8.50222443E8;
OperationGetManyVertices;401463.0;0.0;401463.0;401463.0;
OperationGetManyVertexProperties;9810367.0;0.0;9810367.0;9810367.0;
OperationGetManyEdges;789750.0;0.0;789750.0;789750.0;
OperationGetManyEdgeProperties;1.2504418E7;0.0;1.2504418E7;1.2504418E7;
OperationGetFirstNeighbor;46007.283;33115.94483219392;9544.0;340419.0;
OperationGetRandomNeighbor;37235.056;25552.472321614274;2567.0;320307.0;
OperationGetAllNeighbors;28575.421;21261.70804657421;2557.0;326987.0;
OperationGetKFirstNeighbors;34389.258;22601.184245730023;5343.0;165667.0;
OperationGetKRandomNeighbors;32820.821;32013.352436396897;2987.0;459093.0;
OperationGetKHopNeighbors;41350.141;111578.24208421247;4439.0;2696303.0;
OperationGetShortestPath;687254.064;1985296.101857561;4004.0;1.9244211E7;
OperationGlobalClusteringCoefficient;8.5513226E7;0.0;8.5513226E7;8.5513226E7;
OperationNetworkAverageClusteringCoefficient;2.5124133E7;0.0;2.5124133E7;2.5124133E7;
