operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                    251.137          515.027        41.741        1571.756    
OperationDeleteGraph                                  455.116            0.000       455.116         455.116    
OperationShutdownGraph                                423.653          120.072         0.003         578.753    
OperationDoGC                                        3611.329            7.423      3600.958        3628.772    
OperationLoadGraphML-barabasi_1000_5000               850.222            0.000       850.222         850.222    
OperationGetManyVertices                                0.401            0.000         0.401           0.401    
OperationGetManyVertexProperties                        9.810            0.000         9.810           9.810    
OperationGetManyEdges                                   0.790            0.000         0.790           0.790    
OperationGetManyEdgeProperties                         12.504            0.000        12.504          12.504    
OperationGetFirstNeighbor                               0.046            0.033         0.010           0.340    
OperationGetRandomNeighbor                              0.037            0.026         0.003           0.320    
OperationGetAllNeighbors                                0.029            0.021         0.003           0.327    
OperationGetKFirstNeighbors                             0.034            0.023         0.005           0.166    
OperationGetKRandomNeighbors                            0.033            0.032         0.003           0.459    
OperationGetKHopNeighbors                               0.041            0.112         0.004           2.696    
OperationGetShortestPath                                0.687            1.985         0.004          19.244    
OperationGlobalClusteringCoefficient                   85.513            0.000        85.513          85.513    
OperationNetworkAverageClusteringCoefficient           25.124            0.000        25.124          25.124    
