operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;1.5566627292592594E8;3.808451489935068E8;4.2628543E7;1.514890803E9;
OperationDeleteGraph;5.20109758E8;0.0;5.20109758E8;5.20109758E8;
OperationShutdownGraph;4.053977285185185E8;8.382768228127354E7;2818.0;5.05654669E8;
OperationDoGC;3.623031552185185E9;9157112.647156715;3.601182826E9;3.635677701E9;
OperationLoadGraphML-barabasi_1000_5000;1.053797417E9;0.0;1.053797417E9;1.053797417E9;
OperationGetManyVertices;394692.0;0.0;394692.0;394692.0;
OperationGetManyVertexProperties;1.7506801E7;0.0;1.7506801E7;1.7506801E7;
OperationGetManyEdges;758187.0;0.0;758187.0;758187.0;
OperationGetManyEdgeProperties;1.4944329E7;0.0;1.4944329E7;1.4944329E7;
OperationGetFirstNeighbor;34756.541;25433.918887271746;4701.0;206837.0;
OperationGetRandomNeighbor;34791.193;23702.114091400177;5511.0;313965.0;
OperationGetAllNeighbors;28790.981;21959.802001216656;2015.0;179634.0;
OperationGetKFirstNeighbors;23741.1348;22226.051051948656;1809.0;304222.0;
OperationGetKRandomNeighbors;25300.527;29259.281810449036;2239.0;586371.0;
OperationGetKHopNeighbors;73637.5368;307517.0355331203;2603.0;7732132.0;
OperationGetShortestPath;483558.044;1464493.5076100493;1852.0;1.0497074E7;
OperationGlobalClusteringCoefficient;8.640841E7;0.0;8.640841E7;8.640841E7;
OperationNetworkAverageClusteringCoefficient;2.4200194E7;0.0;2.4200194E7;2.4200194E7;
