operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                    155.666          380.845        42.629        1514.891    
OperationDeleteGraph                                  520.110            0.000       520.110         520.110    
OperationShutdownGraph                                405.398           83.828         0.003         505.655    
OperationDoGC                                        3623.032            9.157      3601.183        3635.678    
OperationLoadGraphML-barabasi_1000_5000              1053.797            0.000      1053.797        1053.797    
OperationGetManyVertices                                0.395            0.000         0.395           0.395    
OperationGetManyVertexProperties                       17.507            0.000        17.507          17.507    
OperationGetManyEdges                                   0.758            0.000         0.758           0.758    
OperationGetManyEdgeProperties                         14.944            0.000        14.944          14.944    
OperationGetFirstNeighbor                               0.035            0.025         0.005           0.207    
OperationGetRandomNeighbor                              0.035            0.024         0.006           0.314    
OperationGetAllNeighbors                                0.029            0.022         0.002           0.180    
OperationGetKFirstNeighbors                             0.024            0.022         0.002           0.304    
OperationGetKRandomNeighbors                            0.025            0.029         0.002           0.586    
OperationGetKHopNeighbors                               0.074            0.308         0.003           7.732    
OperationGetShortestPath                                0.484            1.464         0.002          10.497    
OperationGlobalClusteringCoefficient                   86.408            0.000        86.408          86.408    
OperationNetworkAverageClusteringCoefficient           24.200            0.000        24.200          24.200    
