operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     46.254            5.658        35.326          64.200    
OperationGenerateGraph                                578.325            0.000       578.325         578.325    
OperationShutdownGraph                                419.653           20.546       388.365         478.390    
OperationDoGC                                        3601.999            7.146      3591.953        3622.889    
OperationGetManyVertices                                0.451            0.000         0.451           0.451    
OperationGetManyVertexProperties                       12.821            0.000        12.821          12.821    
OperationGetManyEdges                                   0.791            0.000         0.791           0.791    
OperationGetManyEdgeProperties                         15.089            0.000        15.089          15.089    
OperationGetFirstNeighbor                               0.026            0.020         0.004           0.179    
OperationGetRandomNeighbor                              0.038            0.038         0.002           0.789    
OperationGetAllNeighbors                                0.024            0.019         0.002           0.311    
OperationGetKFirstNeighbors                             0.030            0.029         0.002           0.320    
OperationGetKRandomNeighbors                            0.024            0.027         0.002           0.425    
OperationGetKHopNeighbors                               0.094            0.358         0.002           9.603    
OperationGetShortestPath                                0.848            2.346         0.003          15.985    
OperationGlobalClusteringCoefficient                   90.881            0.000        90.881          90.881    
OperationNetworkAverageClusteringCoefficient           27.423            0.000        27.423          27.423    
