operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.921070714285714E7;6318802.91131227;4.1250717E7;6.4336143E7;
OperationGenerateGraph;5.81146454E8;0.0;5.81146454E8;5.81146454E8;
OperationShutdownGraph;4.592234800714286E8;4.4948692590443306E7;3.51915327E8;5.79881654E8;
OperationDoGC;3.595695688E9;7092394.958221588;3.586029417E9;3.607689327E9;
OperationGetManyVertices;729731.0;0.0;729731.0;729731.0;
OperationGetManyVertexProperties;1.0623347E7;0.0;1.0623347E7;1.0623347E7;
OperationGetManyEdges;814528.0;0.0;814528.0;814528.0;
OperationGetManyEdgeProperties;1.9728488E7;0.0;1.9728488E7;1.9728488E7;
OperationGetFirstNeighbor;32445.471;20241.86010818074;5014.0;206958.0;
OperationGetRandomNeighbor;36799.63;23355.97498374023;3042.0;329237.0;
OperationGetAllNeighbors;32591.246;19786.11222740546;2607.0;135884.0;
OperationGetKFirstNeighbors;35666.417;25082.10006524796;6137.0;170204.0;
OperationGetKRandomNeighbors;33181.732;23894.258335553663;4215.0;225607.0;
OperationGetKHopNeighbors;49265.064;69387.87439431979;3300.0;1229591.0;
OperationGetShortestPath;3215752.168;4424417.119116125;4078.0;2.8369532E7;
OperationGlobalClusteringCoefficient;1.36966236E8;0.0;1.36966236E8;1.36966236E8;
OperationNetworkAverageClusteringCoefficient;4.6078218E7;0.0;4.6078218E7;4.6078218E7;
