operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     49.211            6.319        41.251          64.336    
OperationGenerateGraph                                581.146            0.000       581.146         581.146    
OperationShutdownGraph                                459.223           44.949       351.915         579.882    
OperationDoGC                                        3595.696            7.092      3586.029        3607.689    
OperationGetManyVertices                                0.730            0.000         0.730           0.730    
OperationGetManyVertexProperties                       10.623            0.000        10.623          10.623    
OperationGetManyEdges                                   0.815            0.000         0.815           0.815    
OperationGetManyEdgeProperties                         19.728            0.000        19.728          19.728    
OperationGetFirstNeighbor                               0.032            0.020         0.005           0.207    
OperationGetRandomNeighbor                              0.037            0.023         0.003           0.329    
OperationGetAllNeighbors                                0.033            0.020         0.003           0.136    
OperationGetKFirstNeighbors                             0.036            0.025         0.006           0.170    
OperationGetKRandomNeighbors                            0.033            0.024         0.004           0.226    
OperationGetKHopNeighbors                               0.049            0.069         0.003           1.230    
OperationGetShortestPath                                3.216            4.424         0.004          28.370    
OperationGlobalClusteringCoefficient                  136.966            0.000       136.966         136.966    
OperationNetworkAverageClusteringCoefficient           46.078            0.000        46.078          46.078    
