operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.757523884615385E7;6551192.331194027;3.652049E7;6.9300232E7;
OperationGenerateGraph;5.85203989E8;0.0;5.85203989E8;5.85203989E8;
OperationShutdownGraph;4.344997727692308E8;3.065136522781592E7;3.27439832E8;4.92000998E8;
OperationDoGC;3.6034498966923075E9;1.2600681114653742E7;3.592059229E9;3.661464726E9;
OperationGetManyVertices;679362.0;0.0;679362.0;679362.0;
OperationGetManyVertexProperties;1.0131798E7;0.0;1.0131798E7;1.0131798E7;
OperationGetManyEdges;1009799.0;0.0;1009799.0;1009799.0;
OperationGetManyEdgeProperties;1.2871517E7;0.0;1.2871517E7;1.2871517E7;
OperationGetFirstNeighbor;25717.311;15057.070177769621;4879.0;187156.0;
OperationGetRandomNeighbor;31651.958;22402.11951115867;2297.0;410864.0;
OperationGetAllNeighbors;27100.066;21822.460130554573;2573.0;403678.0;
OperationGetKFirstNeighbors;28690.4418;25430.77836256319;2065.0;198860.0;
OperationGetKRandomNeighbors;31840.1054;29858.269681686;2609.0;493439.0;
OperationGetKHopNeighbors;211777.742;598797.8169459602;2794.0;2.2222482E7;
OperationGetShortestPath;4099539.172;4872438.761251628;3774.0;3.247521E7;
OperationGlobalClusteringCoefficient;1.48802078E8;0.0;1.48802078E8;1.48802078E8;
OperationNetworkAverageClusteringCoefficient;5.8252111E7;0.0;5.8252111E7;5.8252111E7;
