id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1782843044;DONE;14733328;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];412234668;DONE;40679231;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];46358;DONE;40679231;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3540549932;DONE;19925415;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1673689045;DONE;23463343;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];2285329168;DONE;73664935;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];635702502;DONE;26719207;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3574675425;DONE;20147391;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];54687598;DONE;22058127;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];735022;1000;55861607;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];450922487;DONE;56661639;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3603329671;DONE;32164039;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];50324979;DONE;33780191;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];24263985;1000;47242647;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];423131429;DONE;48442695;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3597624040;DONE;32128079;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];58013187;DONE;33743639;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1321765;1000;51240191;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];424388856;DONE;52440239;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3594626823;DONE;32166439;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];60759400;DONE;33620599;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];18694529;1000;55308791;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];434585210;DONE;56966095;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3595795330;DONE;32167183;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];55986526;DONE;33881735;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[38];343167;v[964];45768967;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[38];34739;v[964];45768967;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[729];86103;DNE;45768967;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[947];51734;v[965];45768967;
