id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1863337387;DONE;14740616;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];395434388;DONE;41069079;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];18151;DONE;41069079;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3537193842;DONE;19996159;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1452362589;DONE;23892359;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];2586118608;DONE;35810847;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];683958767;DONE;38274095;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3585427739;DONE;20218135;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];60408179;DONE;22096567;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];616347;1000;55741111;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];443730318;DONE;56541143;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3616097331;DONE;32165695;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];55106994;DONE;33750255;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];22775241;1000;46416887;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];458711094;DONE;48144687;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3606590217;DONE;32129991;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];53452009;DONE;33713447;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1089969;1000;54375335;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];493299178;DONE;55575383;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3612258139;DONE;32168095;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];44695239;DONE;33607863;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];18245384;1000;50821911;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];630484265;DONE;52021959;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3603402323;DONE;32168839;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];45240079;DONE;33876911;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[842];180551;DNE;45718783;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[588];153719;v[612];45718783;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2];227495;v[999];45718783;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[277];51017;v[720];45718783;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[874];42746;DNE;45718783;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[335];49507;v[953];45718783;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[71];72888;v[967];45718783;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[165];59185;v[955];46564663;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[414];52751;v[709];46564663;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[310];59518;v[947];46564663;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[221];58444;v[796];46564663;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[113];69392;v[827];46564663;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[567];65644;v[858];46564663;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[851];50749;DNE;46564663;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[333];47235;v[671];46564663;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[614];53233;v[986];46564663;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[784];47769;v[885];46564663;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[148];68774;v[999];46564663;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[523];41392;DNE;46564663;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[539];42196;DNE;46564663;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[905];39320;DNE;46564663;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[436];48344;v[656];46564663;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[652];39582;DNE;46564663;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[219];65838;v[909];46564663;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[141];65684;v[868];46564663;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[623];50392;v[663];46564663;
