id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1556513787;DONE;25263431;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];455116170;DONE;26738231;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];3261;DONE;26738231;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3600958339;DONE;20059799;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1571756407;DONE;25159383;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];850222443;DONE;69470047;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];578753206;DONE;71361263;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3605764590;DONE;20191655;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];41769319;DONE;22212231;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];401463;1000;55399599;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];454152533;DONE;56199631;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3627212558;DONE;32206831;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];48665496;DONE;34005351;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];9810367;1000;47493863;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];428912182;DONE;48293895;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3628772366;DONE;32170623;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];46478740;DONE;33969143;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];789750;1000;51740335;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];498644224;DONE;53510727;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3601747349;DONE;32207887;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];48304404;DONE;34132407;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];12504418;1000;54189383;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];437624927;DONE;54989415;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3613556089;DONE;32208383;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];51451798;DONE;34213583;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[664];155224;v[972];46244591;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[489];51849;DNE;46244591;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[6];86957;v[993];46244591;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[80];37289;v[979];46244591;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[316];36878;v[942];46244591;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[592];25651;v[953];46244591;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[558];26377;v[966];46244591;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[633];26159;v[838];46244591;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[746];57110;v[866];46244591;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[155];58585;v[859];46244591;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[562];45872;DNE;46244591;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[540];61367;v[718];46244591;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[41];159846;v[970];46244591;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[220];63876;v[984];46244591;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[141];95255;v[868];46244591;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[78];75103;v[554];46244591;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[910];45945;DNE;46244591;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[542];54317;v[648];46244591;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[522];57867;v[971];46244591;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[109];69781;v[561];46244591;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8];133483;v[958];46244591;
