id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1489069288;DONE;25291695;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];520109758;DONE;26491743;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2818;DONE;26491743;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3601182826;DONE;20067399;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1514890803;DONE;25166999;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];1053797417;DONE;69351039;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];505654669;DONE;71226319;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3605000085;DONE;20199279;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];51995667;DONE;22222503;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];394692;1000;55437055;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];401515013;DONE;56856847;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3635677701;DONE;32214455;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];49228523;DONE;34027487;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];17506801;1000;46718231;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];399689165;DONE;47918279;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3631095773;DONE;32178503;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];63105079;DONE;33991535;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];758187;1000;51872015;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];409433054;DONE;53650159;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3609963022;DONE;32215511;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];45965376;DONE;34155471;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];14944329;1000;54309751;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];392071080;DONE;55509799;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3630797960;DONE;32216007;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];59092853;DONE;34237399;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[293];125509;v[878];46365367;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[192];75187;v[922];46365367;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[901];44036;DNE;46365367;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[350];59444;v[723];46365367;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[325];56320;v[731];46365367;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[912];22512;DNE;46365367;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[806];22176;DNE;46365367;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[800];22775;DNE;46365367;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[224];37672;v[757];46365367;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[188];39931;v[727];46365367;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[749];22638;DNE;46365367;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[436];27700;v[656];46365367;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[534];29444;v[737];46365367;
