id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];43780671;DONE;22253671;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@6b177115];564880691;addVertex=100:addVertex_ns=18246.22:getVertex=489:getVertex_ns=1137.912065439673:addEdge=500:addEdge_ns=49942.614;56785351;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];444563208;DONE;58660215;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3622461079;DONE;32189399;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];53630769;DONE;33982415;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];800391;1000;50119631;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];424187693;DONE;51319679;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3594708067;DONE;32105007;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];48675968;DONE;33898055;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];16408359;1000;50931783;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];455055631;DONE;52236495;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3581862622;DONE;32105759;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];45521879;DONE;33898807;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1166907;1000;82819967;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];410140271;DONE;84020015;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3601708479;DONE;32174535;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];51087003;DONE;34155959;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];15671187;1000;82981311;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];410699077;DONE;84406895;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3611632068;DONE;32175031;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];43086517;DONE;34254271;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[628];133610;v[840];50888255;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[747];50677;DNE;50888255;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[886];19718;DNE;50888255;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1209];17758;v[782];50888255;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[352];28698;v[884];50888255;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[979];22440;DNE;50888255;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1228];16723;v[648];50888255;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1252];16530;v[1058];50888255;
