id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];41250717;DONE;22151319;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@751201a1];581146454;addVertex=100:addVertex_ns=13705.16:getVertex=491:getVertex_ns=1239.4460285132384:addEdge=500:addEdge_ns=49442.32;63204975;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];474635172;DONE;65480031;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3603226884;DONE;32212455;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];58841606;DONE;34066191;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];729731;1000;55195831;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];436718485;DONE;56395879;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3594180435;DONE;32138559;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];42896830;DONE;33975919;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];10623347;1000;56024247;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];433479283;DONE;57224295;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3590585002;DONE;32139087;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];50865417;DONE;33976447;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];814528;1000;52432487;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];449839161;DONE;53232519;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3589980238;DONE;32215423;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];53835756;DONE;34250567;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];19728488;1000;57523079;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];460056068;DONE;58323111;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3594598024;DONE;32215887;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];64336143;DONE;34322959;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[515];131388;v[984];55392559;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[37];125870;v[961];55392559;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[905];26813;DNE;55392559;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[850];27894;v[893];55392559;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[137];42643;v[964];55392559;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1171];25268;v[22];55392559;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[376];19986;DNE;55392559;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1632];15407;v[1454];55392559;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1690];15991;v[64];55392559;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1351];28613;v[1192];55392559;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[894];24292;DNE;55392559;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[478];32969;v[917];55392559;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[406];23999;DNE;55392559;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[110];43291;v[796];55392559;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1365];23337;v[506];55392559;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[766];29588;DNE;55392559;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1613];17858;v[1426];55392559;
