operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;2.6525043333333332E7;5.771096883412271E7;9853763.0;2.42426924E8;
OperationDeleteGraph;2.0675955E7;0.0;2.0675955E7;2.0675955E7;
OperationShutdownGraph;490591.6666666667;454292.0195152991;2188.0;1909555.0;
OperationDoGC;3.5161228896E9;9032164.081770709;3.492435592E9;3.527772173E9;
OperationLoadGraphML-barabasi_1000_5000;2.26269724E9;0.0;2.26269724E9;2.26269724E9;
OperationGetManyVertices;1.00944718E8;0.0;1.00944718E8;1.00944718E8;
OperationGetManyVertexProperties;1.00614032E8;0.0;1.00614032E8;1.00614032E8;
OperationGetManyEdges;1.95154289E8;0.0;1.95154289E8;1.95154289E8;
OperationGetManyEdgeProperties;2.2162702E8;0.0;2.2162702E8;2.2162702E8;
OperationGetFirstNeighbor;297568.021;96029.14383012356;76447.0;698921.0;
OperationGetRandomNeighbor;263648.452;105154.9438853623;60733.0;1149662.0;
OperationGetAllNeighbors;661384.103;950145.4225604789;63291.0;1.16664E7;
OperationGetKFirstNeighbors;322931.619;135202.720484034;61034.0;763980.0;
OperationGetKRandomNeighbors;251977.602;126985.69584385319;59383.0;649191.0;
OperationGetKHopNeighbors;2866377.339;7328349.8816521345;59810.0;1.23585346E8;
OperationGetShortestPath;7600803.028;1.6044494821631256E7;859904.0;1.19247013E8;
OperationGlobalClusteringCoefficient;1.5988261101E10;0.0;1.5988261101E10;1.5988261101E10;
OperationNetworkAverageClusteringCoefficient;3.537038618E9;0.0;3.537038618E9;3.537038618E9;
