operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     26.525           57.711         9.854         242.427    
OperationDeleteGraph                                   20.676            0.000        20.676          20.676    
OperationShutdownGraph                                  0.491            0.454         0.002           1.910    
OperationDoGC                                        3516.123            9.032      3492.436        3527.772    
OperationLoadGraphML-barabasi_1000_5000              2262.697            0.000      2262.697        2262.697    
OperationGetManyVertices                              100.945            0.000       100.945         100.945    
OperationGetManyVertexProperties                      100.614            0.000       100.614         100.614    
OperationGetManyEdges                                 195.154            0.000       195.154         195.154    
OperationGetManyEdgeProperties                        221.627            0.000       221.627         221.627    
OperationGetFirstNeighbor                               0.298            0.096         0.076           0.699    
OperationGetRandomNeighbor                              0.264            0.105         0.061           1.150    
OperationGetAllNeighbors                                0.661            0.950         0.063          11.666    
OperationGetKFirstNeighbors                             0.323            0.135         0.061           0.764    
OperationGetKRandomNeighbors                            0.252            0.127         0.059           0.649    
OperationGetKHopNeighbors                               2.866            7.328         0.060         123.585    
OperationGetShortestPath                                7.601           16.044         0.860         119.247    
OperationGlobalClusteringCoefficient                15988.261            0.000     15988.261       15988.261    
OperationNetworkAverageClusteringCoefficient         3537.039            0.000      3537.039        3537.039    
