operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.9504615259259257E7;4.4494319006637625E7;7891674.0;2.46268337E8;
OperationDeleteGraph;2.0693674E7;0.0;2.0693674E7;2.0693674E7;
OperationShutdownGraph;504247.0740740741;402916.6450866064;2065.0;1637421.0;
OperationDoGC;3.521019556111111E9;6223571.661249572;3.498471881E9;3.531279444E9;
OperationLoadGraphML-barabasi_1000_5000;3.215214937E9;0.0;3.215214937E9;3.215214937E9;
OperationGetManyVertices;9.8927533E7;0.0;9.8927533E7;9.8927533E7;
OperationGetManyVertexProperties;1.85585225E8;0.0;1.85585225E8;1.85585225E8;
OperationGetManyEdges;2.16121497E8;0.0;2.16121497E8;2.16121497E8;
OperationGetManyEdgeProperties;2.21231644E8;0.0;2.21231644E8;2.21231644E8;
OperationGetFirstNeighbor;255047.836;97706.10491900245;58250.0;575836.0;
OperationGetRandomNeighbor;145314.175;67776.41540536351;55166.0;504733.0;
OperationGetAllNeighbors;558814.045;799898.943764716;41414.0;1.1670142E7;
OperationGetKFirstNeighbors;341798.6484;265176.4270513372;41719.0;1488288.0;
OperationGetKRandomNeighbors;278444.594;223063.72167520484;51439.0;1259725.0;
OperationGetKHopNeighbors;1.4943486558E7;5.923447917296515E7;54103.0;6.31051221E8;
OperationGetShortestPath;7725141.442;1.698822739663329E7;851784.0;1.26945964E8;
OperationGlobalClusteringCoefficient;1.4710262829E10;0.0;1.4710262829E10;1.4710262829E10;
OperationNetworkAverageClusteringCoefficient;3.235096397E9;0.0;3.235096397E9;3.235096397E9;
