operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.254            1.332         8.573          13.473    
OperationGenerateGraph                               1885.735            0.000      1885.735        1885.735    
OperationShutdownGraph                                  0.632            0.544         0.211           2.160    
OperationDoGC                                        3517.896            6.364      3508.955        3525.196    
OperationGetManyVertices                              117.828            0.000       117.828         117.828    
OperationGetManyVertexProperties                       83.978            0.000        83.978          83.978    
OperationGetManyEdges                                 174.538            0.000       174.538         174.538    
OperationGetManyEdgeProperties                        172.244            0.000       172.244         172.244    
OperationGetFirstNeighbor                               0.358            0.097         0.127           0.731    
OperationGetRandomNeighbor                              0.241            0.106         0.058           0.657    
OperationGetAllNeighbors                                0.699            0.998         0.062          17.468    
OperationGetKFirstNeighbors                             0.413            0.159         0.062           0.945    
OperationGetKRandomNeighbors                            0.316            0.152         0.058           0.848    
OperationGetKHopNeighbors                               4.771            8.818         0.072         186.985    
OperationGetShortestPath                               30.703           42.974         0.872         142.623    
OperationGlobalClusteringCoefficient                22434.990            0.000     22434.990       22434.990    
OperationNetworkAverageClusteringCoefficient         7793.670            0.000      7793.670        7793.670    
