operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.309            0.731         8.813          12.000    
OperationGenerateGraph                               1555.886            0.000      1555.886        1555.886    
OperationShutdownGraph                                  0.571            0.471         0.183           1.879    
OperationDoGC                                        3509.223           14.287      3488.888        3556.293    
OperationGetManyVertices                              109.663            0.000       109.663         109.663    
OperationGetManyVertexProperties                      131.441            0.000       131.441         131.441    
OperationGetManyEdges                                 216.994            0.000       216.994         216.994    
OperationGetManyEdgeProperties                        172.000            0.000       172.000         172.000    
OperationGetFirstNeighbor                               0.319            0.111         0.060           0.930    
OperationGetRandomNeighbor                              0.173            0.066         0.056           0.516    
OperationGetAllNeighbors                                0.508            0.506         0.056           5.511    
OperationGetKFirstNeighbors                             0.442            0.456         0.047          26.259    
OperationGetKRandomNeighbors                            0.414            0.264         0.054           2.340    
OperationGetKHopNeighbors                              55.957          122.962         0.053         671.577    
OperationGetShortestPath                               38.872           49.669         0.875         137.021    
OperationGlobalClusteringCoefficient                22380.980            0.000     22380.980       22380.980    
OperationNetworkAverageClusteringCoefficient         8424.459            0.000      8424.459        8424.459    
