operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1220332923076924E7;664080.5906110355;9471415.0;1.2331009E7;
OperationGenerateGraph;2.555265866E9;0.0;2.555265866E9;2.555265866E9;
OperationShutdownGraph;581121.1153846154;503155.33753521775;183937.0;2046455.0;
OperationDoGC;3.499087776769231E9;7666579.694716103;3.484363985E9;3.516506959E9;
OperationGetManyVertices;1.29461095E8;0.0;1.29461095E8;1.29461095E8;
OperationGetManyVertexProperties;1.2971541E8;0.0;1.2971541E8;1.2971541E8;
OperationGetManyEdges;1.73721262E8;0.0;1.73721262E8;1.73721262E8;
OperationGetManyEdgeProperties;1.9279859E8;0.0;1.9279859E8;1.9279859E8;
OperationGetFirstNeighbor;269298.835;124140.77134017565;59786.0;621842.0;
OperationGetRandomNeighbor;298069.915;119150.44565162048;56890.0;870713.0;
OperationGetAllNeighbors;641845.365;476703.7768747213;60832.0;6930230.0;
OperationGetKFirstNeighbors;493231.0838;475809.38043257303;55996.0;2.0104992E7;
OperationGetKRandomNeighbors;435792.8772;258930.74222966452;55982.0;2214786.0;
OperationGetKHopNeighbors;6.39764725776E7;1.3051590299417827E8;56290.0;6.80908125E8;
OperationGetShortestPath;4.7628702854E7;5.3853136575118475E7;875575.0;1.37079072E8;
OperationGlobalClusteringCoefficient;2.829445816E10;0.0;2.829445816E10;2.829445816E10;
OperationNetworkAverageClusteringCoefficient;1.1261654004E10;0.0;1.1261654004E10;1.1261654004E10;
