operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.146880492857143E7;1562445.628800634;7145409.0;1.3990575E7;
OperationGenerateGraph;2.126412577E9;0.0;2.126412577E9;2.126412577E9;
OperationShutdownGraph;768486.9285714285;1011790.517404698;224420.0;4235751.0;
OperationDoGC;3.507812254071429E9;4105140.6947423243;3.500424275E9;3.515140558E9;
OperationGetManyVertices;1.05603693E8;0.0;1.05603693E8;1.05603693E8;
OperationGetManyVertexProperties;1.40995308E8;0.0;1.40995308E8;1.40995308E8;
OperationGetManyEdges;1.66099129E8;0.0;1.66099129E8;1.66099129E8;
OperationGetManyEdgeProperties;1.28138188E8;0.0;1.28138188E8;1.28138188E8;
OperationGetFirstNeighbor;372991.194;95620.05043046342;135850.0;732859.0;
OperationGetRandomNeighbor;309984.044;111105.30477469588;63634.0;1116788.0;
OperationGetAllNeighbors;657141.821;456038.0525809297;57263.0;6171522.0;
OperationGetKFirstNeighbors;458708.198;168107.74073680484;79554.0;1173903.0;
OperationGetKRandomNeighbors;415516.355;168265.33676057868;60787.0;1304471.0;
OperationGetKHopNeighbors;4849106.679;8087983.881366745;85540.0;1.97418416E8;
OperationGetShortestPath;5.6019273724E7;5.620912691873577E7;875357.0;1.52507255E8;
OperationGlobalClusteringCoefficient;3.1701260969E10;0.0;3.1701260969E10;3.1701260969E10;
OperationNetworkAverageClusteringCoefficient;1.1315880389E10;0.0;1.1315880389E10;1.1315880389E10;
