id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];198251119;DONE;5154288;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];32784067;DONE;30610775;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];8475;DONE;30610775;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3452595361;DONE;20472735;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];257874082;DONE;21011767;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];4204488094;DONE;59023639;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1828304;DONE;59023639;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3493333006;DONE;20581983;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];20847412;DONE;21248223;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];72222003;1000;57245079;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];598777;DONE;57245079;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3534638217;DONE;32320879;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];19593402;DONE;32987247;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];199280981;1000;46314895;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];953692;DONE;46314895;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3528995875;DONE;32322071;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];18490425;DONE;32988439;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];183502443;1000;47453231;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];446836;DONE;47453231;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3511737388;DONE;32322383;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];18233939;DONE;33133351;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];227533356;1000;47352039;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];395480;DONE;47352039;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3511985004;DONE;32323511;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];18132936;DONE;33230975;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[378];950058;v[884];45028007;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[313];277309;v[404];45028007;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[696];230489;v[875];45028007;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[766];222874;DNE;45028007;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[259];350309;v[351];45028007;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[954];205157;DNE;45028007;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[946];189082;DNE;45028007;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[108];260831;v[131];45028007;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[296];252565;v[338];45028007;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[819];191539;DNE;45028007;
