id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];571732882;DONE;5154304;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];4937684;DONE;28822463;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];14992;DONE;28822463;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3511021186;DONE;20164839;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];298181095;DONE;20703871;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];3794482538;DONE;58713543;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1982849;DONE;58713543;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3489188624;DONE;20274087;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];20986389;DONE;20940359;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];50902278;1000;57021663;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];261563;DONE;57021663;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3530748472;DONE;32322591;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];18816458;DONE;32981607;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];159201076;1000;46821095;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];392480;DONE;46821095;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3515690488;DONE;32323783;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];18395215;DONE;32982799;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];181012888;1000;50945151;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];389152;DONE;50945151;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3501504141;DONE;32324095;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];17196873;DONE;33130727;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];222803474;1000;48039999;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];392171;DONE;48039999;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3514915841;DONE;32325223;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];17732613;DONE;33227839;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[196];962100;v[222];44961847;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[535];267769;v[545];44961847;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[412];210516;v[517];44961847;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[846];261530;DNE;44961847;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[542];269852;v[648];44961847;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[793];256882;v[845];44961847;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[520];249204;v[728];44961847;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[251];259531;v[337];44961847;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[38];286704;v[44];44961847;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[302];261293;v[322];44961847;
