id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];184794874;DONE;5154304;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@3979c7cf];2535783817;addVertex=100:addVertex_ns=210601.63:getVertex=490:getVertex_ns=167040.0367346939:addEdge=500:addEdge_ns=222304.02;63923167;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1971124;DONE;63923167;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3521041705;DONE;32307479;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];23583006;DONE;32830047;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];154674933;1000;56345727;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];471949;DONE;56345727;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3522992508;DONE;32307991;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];20681014;DONE;32830559;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];160551534;1000;57391519;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];413603;DONE;57391519;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3495212305;DONE;32308303;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];22277575;DONE;32830871;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];210761657;1000;52013247;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];641555;DONE;52013247;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3501933331;DONE;32309367;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];19829182;DONE;33156183;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];201472547;1000;58621719;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];432771;DONE;58621719;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3504587409;DONE;32309647;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];20278951;DONE;33291511;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[686];1213265;v[743];55874383;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1443];445698;v[1241];55874383;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1328];284426;v[88];55874383;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[916];247875;DNE;55874383;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1077];281646;v[979];55874383;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1293];365883;v[154];55874383;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1523];297448;v[1330];55874383;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[840];280524;v[983];55874383;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[892];219460;DNE;55874383;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[360];213500;DNE;55874383;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[310];291101;v[393];55874383;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[884];253571;DNE;55874383;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[183];519005;v[204];55874383;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[996];248513;DNE;55874383;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1097];437527;v[967];55874383;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[203];342857;v[210];55874383;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1664];271090;v[428];55874383;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[737];356687;v[751];55874383;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[931];196443;DNE;55874383;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[557];264927;v[808];55874383;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1808];278215;v[234];55874383;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[863];191279;DNE;55874383;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[549];328831;v[628];55874383;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1173];270914;v[485];55874383;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[999];191092;DNE;55874383;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1588];268974;v[858];55874383;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[666];190067;DNE;55874383;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[907];267238;v[978];55874383;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1074];268832;v[4];55874383;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1206];272368;v[973];55874383;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1576];270369;v[465];55874383;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1554];272754;v[310];55874383;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1200];264933;v[1154];55874383;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1211];335599;v[955];55874383;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[900];190884;DNE;55874383;
