id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];227122946;DONE;5154304;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@304a0ac5];2264674743;addVertex=100:addVertex_ns=201089.63:getVertex=493:getVertex_ns=138961.06693711967:addEdge=500:addEdge_ns=286386.702;63256887;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2414472;DONE;63525855;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3514779217;DONE;32343599;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];23442775;DONE;32863367;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];164233025;1000;56252983;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];420114;DONE;56252983;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3502938812;DONE;32702487;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];20972831;DONE;33222255;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];71791144;1000;57131727;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];229367;DONE;57131727;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3497956470;DONE;32309831;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];22371178;DONE;32829599;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];226585226;1000;52590255;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];454879;DONE;52590255;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3502572964;DONE;32310895;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];19941286;DONE;33157479;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];198984884;1000;52929887;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];416150;DONE;52929887;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3497414347;DONE;32311175;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];20339084;DONE;33292767;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[727];353011;DNE;56850975;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1128];930465;v[390];56850975;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1584];292307;v[1437];56850975;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[830];290126;v[953];56850975;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[530];284116;v[656];56850975;
