id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];14137381;DONE;21470927;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];20675955;DONE;21470927;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2188;DONE;21470927;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3504577537;DONE;20232255;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];242426924;DONE;21307063;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];2262697240;DONE;58938055;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];524064;DONE;58938055;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3492435592;DONE;20257079;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11746100;DONE;21331695;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];100944718;1000;57114015;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];364817;DONE;57114015;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3516225257;DONE;32341807;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];9915196;DONE;33293535;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];100614032;1000;46617751;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];267845;DONE;46617751;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3525309029;DONE;32342047;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11521784;DONE;33293775;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];195154289;1000;47461095;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];334435;DONE;47461095;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3516246618;DONE;32342079;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];10093046;DONE;33340439;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];221627020;1000;48944543;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];612519;DONE;48944543;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3521424851;DONE;32342015;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];10450701;DONE;33368327;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[398];240435;v[457];44657759;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[733];372709;v[776];45688159;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[61];377741;v[65];45688159;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[986];158892;DNE;45688159;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[171];386045;v[203];45688159;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[643];181101;v[676];45688159;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[884];116471;DNE;45688159;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[880];131887;DNE;45688159;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[384];186928;v[705];45688159;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[880];81241;DNE;45688159;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[552];222387;v[630];45688159;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[756];154817;DNE;45688159;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[942];153022;DNE;45688159;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[646];217250;v[732];45688159;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[67];388940;v[86];45688159;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[628];255827;v[840];45688159;
