id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7891674;DONE;21484615;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];20693674;DONE;21484615;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2065;DONE;21484615;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3498471881;DONE;20233759;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];246268337;DONE;21308567;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];3215214937;DONE;57863455;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];656844;DONE;57863455;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3510899265;DONE;20258791;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11611428;DONE;21333423;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];98927533;1000;57116471;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];363406;DONE;57116471;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3530215636;DONE;32343727;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];9096236;DONE;33295463;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];185585225;1000;46619775;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];466173;DONE;46619775;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3523659123;DONE;32343759;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];14580184;DONE;33295495;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];216121497;1000;48411535;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];461655;DONE;48411535;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3518121874;DONE;32343791;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11429765;DONE;33342159;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];221231644;1000;48285359;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];418462;DONE;48285359;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3518588114;DONE;32343727;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11140597;DONE;33370047;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[986];189673;DNE;45685887;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[877];220332;v[997];45685887;
