id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];14259092;DONE;21340487;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@78482bad];1435752791;addVertex=100:addVertex_ns=165868.39:getVertex=485:getVertex_ns=116005.16907216495:addEdge=500:addEdge_ns=181752.136;51729463;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];258732;DONE;51729463;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3509622678;DONE;32262463;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];12178069;DONE;33131527;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];157269992;1000;48774799;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];333765;DONE;48774799;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3507361483;DONE;32262695;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];12095705;DONE;33131759;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];138894030;1000;49644159;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];205576;DONE;49644159;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3494336395;DONE;32262663;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];11938678;DONE;33131727;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];158940023;1000;57928567;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];387983;DONE;57928567;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3493950180;DONE;32262695;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];12088729;DONE;33204759;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];201904997;1000;61550487;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];409719;DONE;61550487;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3499757950;DONE;32262599;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];8754403;DONE;33285407;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1125];270346;v[170];46581911;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[911];131760;DNE;46581911;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[674];208837;v[750];46581911;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1023];178628;v[28];46581911;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1047];176669;v[189];46581911;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[726];126104;DNE;46581911;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[985];144117;DNE;46581911;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[129];198857;v[156];46581911;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[292];201187;v[375];47608807;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[900];132867;DNE;47608807;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[489];117639;DNE;47608807;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[737];202216;v[751];47608807;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1006];181722;v[343];47608807;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1001];175254;v[512];47608807;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[59];209687;v[66];47608807;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[521];197713;v[604];47608807;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[223];183983;v[244];47608807;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[910];117983;DNE;47608807;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[983];115986;DNE;47608807;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[456];175749;v[504];47608807;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1111];184529;v[198];47608807;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[390];175139;v[394];47608807;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[328];173076;v[357];47608807;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[569];183433;v[599];47608807;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[58];192308;v[72];47608807;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[826];118289;DNE;47608807;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[422];176036;v[545];47608807;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[878];148749;DNE;47608807;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[835];169490;v[880];47608807;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[685];169256;v[745];47608807;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[421];171579;v[432];47608807;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[552];170851;v[630];47608807;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[477];174381;v[782];47608807;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[312];192833;v[317];47608807;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8];213675;v[12];47608807;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[88];189015;v[141];47608807;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[214];225668;v[327];47608807;
