id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];13570092;DONE;21401175;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@5796de29];2524789673;addVertex=100:addVertex_ns=166000.31:getVertex=488:getVertex_ns=108311.42418032787:addEdge=500:addEdge_ns=210015.19;33804727;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];225755;DONE;33804727;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3495292131;DONE;32376423;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];13476364;DONE;33332999;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];114812726;1000;64900151;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];334872;DONE;64900151;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3503708267;DONE;32381439;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];10075356;DONE;33379391;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];147930868;1000;66312095;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];368163;DONE;66312095;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3494342984;DONE;32381407;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];12867974;DONE;33406247;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];93302792;1000;45964431;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];229818;DONE;45964431;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3489180030;DONE;32381439;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];12753170;DONE;33449871;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];201331435;1000;46229751;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];377871;DONE;46229751;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3494054669;DONE;32381135;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];12339743;DONE;33457047;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1058];293533;v[40];64658495;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2184];227145;v[1351];64658495;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[888];150935;DNE;64658495;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[145];270078;v[236];64658495;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[375];341455;v[381];64658495;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[677];164301;DNE;64658495;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2049];320723;v[303];64658495;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1799];246625;v[710];64658495;
