operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;2.7696004666666668E7;6.661348541334899E7;1523323.0;2.03973962E8;
OperationDeleteGraph;1.359423E7;0.0;1.359423E7;1.359423E7;
OperationShutdownGraph;3.64010858E7;8.436900373129112E7;3104.0;3.49488523E8;
OperationDoGC;3.435342179E9;7957081.569492674;3.418455801E9;3.446163296E9;
OperationLoadGraphML-barabasi_2000_10000;3.091023827E9;0.0;3.091023827E9;3.091023827E9;
OperationGetManyVertices;1.6344417E7;0.0;1.6344417E7;1.6344417E7;
OperationGetManyVertexProperties;3.481798E7;0.0;3.481798E7;3.481798E7;
OperationGetManyEdges;1.9551801E7;0.0;1.9551801E7;1.9551801E7;
OperationGetManyEdgeProperties;4.305854E7;0.0;4.305854E7;4.305854E7;
OperationGetFirstNeighbor;56580.14;21772.84094853952;12206.0;121434.0;
OperationGetRandomNeighbor;139422.832;188189.8487567216;9872.0;2662878.0;
OperationGetAllNeighbors;203519.882;321576.3245847493;10335.0;4054800.0;
OperationGetKFirstNeighbors;80647.737;37867.635546358484;12796.0;156461.0;
OperationGetKRandomNeighbors;151408.397;170831.16217733637;11390.0;1499491.0;
OperationGetKHopNeighbors;934078.946;3339609.175360935;12092.0;6.9638369E7;
OperationGetShortestPath;8314293.218;2.6575368623688728E7;3342.0;2.73474299E8;
OperationGlobalClusteringCoefficient;9.628845026E9;0.0;9.628845026E9;9.628845026E9;
OperationNetworkAverageClusteringCoefficient;1.970891707E9;0.0;1.970891707E9;1.970891707E9;
