operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                     27.696           66.613         1.523         203.974    
OperationDeleteGraph                                   13.594            0.000        13.594          13.594    
OperationShutdownGraph                                 36.401           84.369         0.003         349.489    
OperationDoGC                                        3435.342            7.957      3418.456        3446.163    
OperationLoadGraphML-barabasi_2000_10000             3091.024            0.000      3091.024        3091.024    
OperationGetManyVertices                               16.344            0.000        16.344          16.344    
OperationGetManyVertexProperties                       34.818            0.000        34.818          34.818    
OperationGetManyEdges                                  19.552            0.000        19.552          19.552    
OperationGetManyEdgeProperties                         43.059            0.000        43.059          43.059    
OperationGetFirstNeighbor                               0.057            0.022         0.012           0.121    
OperationGetRandomNeighbor                              0.139            0.188         0.010           2.663    
OperationGetAllNeighbors                                0.204            0.322         0.010           4.055    
OperationGetKFirstNeighbors                             0.081            0.038         0.013           0.156    
OperationGetKRandomNeighbors                            0.151            0.171         0.011           1.499    
OperationGetKHopNeighbors                               0.934            3.340         0.012          69.638    
OperationGetShortestPath                                8.314           26.575         0.003         273.474    
OperationGlobalClusteringCoefficient                 9628.845            0.000      9628.845        9628.845    
OperationNetworkAverageClusteringCoefficient         1970.892            0.000      1970.892        1970.892    
