operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1.8811875592592593E7;6.102401634924307E7;1070514.0;2.53698486E8;
OperationDeleteGraph;8063957.0;0.0;8063957.0;8063957.0;
OperationShutdownGraph;2.1015859333333332E7;6.486547678961133E7;2165.0;3.51276563E8;
OperationDoGC;3.463145542296296E9;9058283.046434125;3.433909325E9;3.47904526E9;
OperationLoadGraphML-barabasi_2000_10000;2.733565177E9;0.0;2.733565177E9;2.733565177E9;
OperationGetManyVertices;1.5094157E7;0.0;1.5094157E7;1.5094157E7;
OperationGetManyVertexProperties;3.4534043E7;0.0;3.4534043E7;3.4534043E7;
OperationGetManyEdges;2.2549365E7;0.0;2.2549365E7;2.2549365E7;
OperationGetManyEdgeProperties;3.7511527E7;0.0;3.7511527E7;3.7511527E7;
OperationGetFirstNeighbor;47566.865;18478.17758077822;11919.0;87970.0;
OperationGetRandomNeighbor;123555.033;145153.09202683187;9449.0;1424279.0;
OperationGetAllNeighbors;205787.468;337737.3274931525;9050.0;5016246.0;
OperationGetKFirstNeighbors;79144.6372;65040.18819799626;8338.0;767112.0;
OperationGetKRandomNeighbors;143681.7274;196191.0143449364;8662.0;2733885.0;
OperationGetKHopNeighbors;4636459.3044;2.3052554872062176E7;9038.0;3.13146517E8;
OperationGetShortestPath;8090542.722;2.5855717778918985E7;10366.0;2.86809156E8;
OperationGlobalClusteringCoefficient;9.005083691E9;0.0;9.005083691E9;9.005083691E9;
OperationNetworkAverageClusteringCoefficient;1.810913766E9;0.0;1.810913766E9;1.810913766E9;
