id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];296684548;DONE;2192000;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];10586579;DONE;27607743;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];18888;DONE;27607743;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3384953918;DONE;19536607;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];203456644;DONE;19805327;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];3274320730;DONE;22179895;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];344134119;DONE;22179895;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3409482473;DONE;19640959;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1590554;DONE;20720479;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];16135547;1000;67989567;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];10824080;DONE;67989567;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3451579698;DONE;31783143;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1562098;DONE;32848599;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];37865099;1000;73336127;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];14050984;DONE;73336127;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3435611033;DONE;31783503;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1558520;DONE;32852223;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];25061440;1000;37346831;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];7234265;DONE;37346831;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3428951714;DONE;31783807;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1616382;DONE;32860007;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];41095255;1000;53592687;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];21393010;DONE;53592687;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3436033775;DONE;31784079;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1566941;DONE;32860279;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1871];903801;DNE;55460479;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[690];56442;DNE;55460479;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1405];563839;v[1510];55460479;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[521];84545;v[646];55460479;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[676];88267;v[1323];55460479;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1454];26605;DNE;55460479;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1347];85446;v[1458];56536687;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[438];90228;v[504];56536687;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1494];21064;DNE;56536687;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1554];96266;v[1834];56536687;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[842];86477;v[922];56536687;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[895];86281;v[999];56536687;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1150];89295;v[1680];56536687;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[425];84087;v[511];56536687;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[249];92790;v[281];56536687;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1245];89247;v[1336];56536687;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1906];26110;DNE;56536687;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1116];89424;v[1527];56536687;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1953];79256;v[1954];56536687;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[111];91378;v[173];56536687;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[458];89892;v[489];56536687;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1363];79825;v[1988];56536687;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1408];86091;v[1590];56536687;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1952];22281;DNE;56536687;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[346];92411;v[392];56536687;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[356];108147;v[389];56536687;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1179];85166;v[1750];56536687;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[125];87212;v[168];56536687;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1150];81420;v[1680];56536687;
