id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];253993581;DONE;2192000;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];12010855;DONE;33135207;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];18235;DONE;33135207;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3431444770;DONE;20099879;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];196419231;DONE;20368599;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];3233706014;DONE;22750287;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];375291044;DONE;22750287;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3425650947;DONE;20204231;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1654270;DONE;21286255;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];14863312;1000;68636239;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];7004534;DONE;68636239;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3474722507;DONE;31865023;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1621269;DONE;32932079;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];36506548;1000;72417863;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];14745584;DONE;72417863;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3457482647;DONE;31865383;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1588908;DONE;32935103;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];18184320;1000;43925423;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];6404420;DONE;43925423;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3465220256;DONE;31796415;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1607684;DONE;32873623;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];39095632;1000;53544095;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];26670902;DONE;53544095;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455079340;DONE;31796687;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1584395;DONE;32873895;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[47];1260134;v[48];55495263;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1566];79837;DNE;55495263;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[258];174293;v[413];55495263;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[659];152805;v[765];55495263;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[815];134567;v[816];55495263;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[703];106436;v[717];55495263;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[812];18756;DNE;55495263;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[570];150998;v[740];55495263;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[600];146792;v[759];55495263;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1156];146551;v[1826];56572479;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1046];139593;v[1300];56572479;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[505];141477;v[564];56572479;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[906];132245;v[907];56572479;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1401];47192;DNE;56572479;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[675];139412;v[1132];56572479;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1885];47728;DNE;56572479;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[597];132855;v[614];56572479;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[906];121114;v[907];56572479;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[48];129795;v[65];56572479;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1406];122557;v[1879];56572479;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[926];143187;v[1088];56572479;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1614];134904;v[1913];56572479;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1127];129723;v[1135];56572479;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1201];136316;v[1806];56572479;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1097];136018;v[1431];56572479;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[610];132421;v[1126];56572479;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1861];123623;v[1912];56572479;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1642];38748;DNE;56572479;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[9];145452;v[12];56572479;
