id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];190862090;DONE;20843855;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];13594230;DONE;20843855;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];3104;DONE;20843855;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3418516694;DONE;19596367;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];203973962;DONE;20671175;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];3091023827;DONE;22144671;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];349488523;DONE;22144671;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3418455801;DONE;19621327;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1591042;DONE;20696135;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];16344417;1000;68054431;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];10590251;DONE;68054431;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3446163296;DONE;31794551;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1596476;DONE;32861679;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];34817980;1000;71279455;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];11699985;DONE;71279455;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3443383454;DONE;31794527;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1583551;DONE;32864319;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];19551801;1000;42757039;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];10177610;DONE;42757039;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3435619394;DONE;31794551;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1575755;DONE;32871831;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];43058540;1000;57844591;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];11490433;DONE;57844591;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3437810332;DONE;31794543;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1575956;DONE;32871823;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[281];119526;v[365];56571983;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1192];59027;v[1216];56571983;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[728];105637;v[1583];56571983;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[976];102335;v[1189];56571983;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1589];121434;v[1662];56571983;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[107];119471;v[145];56571983;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[465];89033;v[536];56571983;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[57];84854;v[67];56571983;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1023];20229;DNE;56571983;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[651];81656;v[657];56571983;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1078];91003;v[1443];56571983;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[98];91984;v[103];56571983;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1277];46004;DNE;56571983;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[458];84101;v[489];56571983;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[958];86525;v[1760];56571983;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[177];91623;v[199];56571983;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1207];60176;v[1614];56571983;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1439];47490;DNE;56571983;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[127];100258;v[138];56571983;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1698];59400;v[1983];56571983;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1744];13618;DNE;56571983;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1750];12351;DNE;56571983;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[460];85316;v[548];56571983;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[284];81677;v[535];56571983;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1772];90252;v[1822];56571983;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1775];48605;v[1816];56571983;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1088];49182;v[1970];56571983;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1806];13293;DNE;56571983;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[427];91804;v[679];56571983;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1018];47511;DNE;56571983;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[847];57995;v[977];56571983;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[684];64985;v[761];57649271;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1499];19592;DNE;57649271;
58;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1748];12708;DNE;57649271;
59;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[885];58144;v[1141];57649271;
60;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1690];13559;DNE;57649271;
61;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1226];90048;v[1567];57649271;
62;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[960];85515;v[1094];57649271;
63;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[976];81630;v[1189];57649271;
64;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1364];17844;DNE;57649271;
65;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[676];87874;v[1323];57649271;
66;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[757];59840;v[795];57649271;
67;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[939];57207;v[952];57649271;
68;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1831];13444;DNE;57649271;
69;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[121];54124;v[147];57649271;
70;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[599];55247;v[622];57649271;
71;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1653];85975;v[1902];57649271;
72;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[350];83614;v[408];57649271;
