id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];213709521;DONE;20924007;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];8063957;DONE;20924007;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2165;DONE;20924007;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3433909325;DONE;19608975;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];253698486;DONE;20683783;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];2733565177;DONE;21082471;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];351276563;DONE;21082471;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3442787133;DONE;19633935;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1070514;DONE;20708743;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];15094157;1000;68067087;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];10008757;DONE;68067087;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3479045260;DONE;31807159;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1634207;DONE;32874287;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];34534043;1000;72359239;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];4861145;DONE;72359239;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3474251675;DONE;31807135;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1190651;DONE;32876927;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];22549365;1000;42793543;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];4293911;DONE;42793543;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3464365808;DONE;31807159;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1864483;DONE;32884439;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];37511527;1000;52509791;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];5534770;DONE;52509791;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3469841333;DONE;31807151;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1609247;DONE;32884431;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[457];77081;v[589];55507311;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1019];61166;v[1653];55507311;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[676];59458;v[1323];55507311;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[533];59178;v[708];55507311;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[165];62275;v[178];55507311;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1250];53562;v[1279];55507311;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1172];19787;DNE;55507311;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1078];58729;v[1443];55507311;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1377];18920;DNE;55507311;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1872];49484;v[1883];55507311;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1140];57553;v[1539];55507311;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1350];53195;v[1449];55507311;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[969];61391;v[1095];55507311;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[146];56301;v[155];55507311;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1894];12563;DNE;55507311;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[145];56927;v[321];55507311;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[822];61915;v[905];55507311;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1661];65029;v[1737];55507311;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1382];61853;v[1965];56584615;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1710];13735;DNE;56584615;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1853];12519;DNE;56584615;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[790];59828;v[795];56584615;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1468];56188;v[1804];56584615;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[801];54692;v[902];56584615;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[92];62999;v[338];56584615;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1533];61113;v[1622];56584615;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[795];55776;v[802];56584615;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[546];62968;v[691];56584615;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1282];60256;v[1340];56584615;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[931];58050;v[937];56584615;
