operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;918352.6666666666;540175.0095530975;577302.0;2585733.0;
OperationDeleteGraph;2180762.0;0.0;2180762.0;2180762.0;
OperationShutdownGraph;2.5734017813333333E8;8.169636997206234E8;1664.0;3.290320372E9;
OperationDoGC;3.430415102E9;7553382.011753879;3.407904703E9;3.438652334E9;
OperationLoadGraphML-barabasi_2000_10000;7.93394632E8;0.0;7.93394632E8;7.93394632E8;
OperationGetManyVertices;634041.0;0.0;634041.0;634041.0;
OperationGetManyVertexProperties;1.19818E7;0.0;1.19818E7;1.19818E7;
OperationGetManyEdges;979808.0;0.0;979808.0;979808.0;
OperationGetManyEdgeProperties;1.0818746E7;0.0;1.0818746E7;1.0818746E7;
OperationGetFirstNeighbor;31993.484;12926.034388540986;16098.0;235959.0;
OperationGetRandomNeighbor;37223.264;17298.183494063895;14320.0;369182.0;
OperationGetAllNeighbors;40648.769;22678.99461359871;14208.0;306612.0;
OperationGetKFirstNeighbors;40290.307;16101.443695543312;16926.0;216451.0;
OperationGetKRandomNeighbors;37591.548;16769.419790132746;15704.0;269594.0;
OperationGetKHopNeighbors;106670.713;245975.85273603303;15821.0;3695407.0;
OperationGetShortestPath;2407977.304;7757979.353441435;15867.0;5.7947752E7;
OperationGlobalClusteringCoefficient;5.23367761E8;0.0;5.23367761E8;5.23367761E8;
OperationNetworkAverageClusteringCoefficient;1.48373117E8;0.0;1.48373117E8;1.48373117E8;
