operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.918            0.540         0.577           2.586    
OperationDeleteGraph                                    2.181            0.000         2.181           2.181    
OperationShutdownGraph                                257.340          816.964         0.002        3290.320    
OperationDoGC                                        3430.415            7.553      3407.905        3438.652    
OperationLoadGraphML-barabasi_2000_10000              793.395            0.000       793.395         793.395    
OperationGetManyVertices                                0.634            0.000         0.634           0.634    
OperationGetManyVertexProperties                       11.982            0.000        11.982          11.982    
OperationGetManyEdges                                   0.980            0.000         0.980           0.980    
OperationGetManyEdgeProperties                         10.819            0.000        10.819          10.819    
OperationGetFirstNeighbor                               0.032            0.013         0.016           0.236    
OperationGetRandomNeighbor                              0.037            0.017         0.014           0.369    
OperationGetAllNeighbors                                0.041            0.023         0.014           0.307    
OperationGetKFirstNeighbors                             0.040            0.016         0.017           0.216    
OperationGetKRandomNeighbors                            0.038            0.017         0.016           0.270    
OperationGetKHopNeighbors                               0.107            0.246         0.016           3.695    
OperationGetShortestPath                                2.408            7.758         0.016          57.948    
OperationGlobalClusteringCoefficient                  523.368            0.000       523.368         523.368    
OperationNetworkAverageClusteringCoefficient          148.373            0.000       148.373         148.373    
