operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;783574.9629629629;61838.42987470655;570193.0;974999.0;
OperationDeleteGraph;2562236.0;0.0;2562236.0;2562236.0;
OperationShutdownGraph;6.389939063333334E8;1.9230251121969848E9;3769.0;9.30805619E9;
OperationDoGC;3.418109440259259E9;8308252.098568214;3.392301967E9;3.434710049E9;
OperationLoadGraphML-barabasi_2000_10000;7.23950749E8;0.0;7.23950749E8;7.23950749E8;
OperationGetManyVertices;678449.0;0.0;678449.0;678449.0;
OperationGetManyVertexProperties;1.9561657E7;0.0;1.9561657E7;1.9561657E7;
OperationGetManyEdges;954368.0;0.0;954368.0;954368.0;
OperationGetManyEdgeProperties;1.2095542E7;0.0;1.2095542E7;1.2095542E7;
OperationGetFirstNeighbor;24330.38;10001.064573214197;15597.0;275577.0;
OperationGetRandomNeighbor;28865.38;12620.533735765703;13092.0;260545.0;
OperationGetAllNeighbors;35026.008;25036.76292969871;12937.0;431804.0;
OperationGetKFirstNeighbors;34561.6376;18249.534307972488;12994.0;324762.0;
OperationGetKRandomNeighbors;36520.2462;20709.31496902746;12736.0;280953.0;
OperationGetKHopNeighbors;434570.0162;1992983.4302513609;13441.0;4.3557865E7;
OperationGetShortestPath;2614578.676;7818047.5209612055;1699.0;6.0064783E7;
OperationGlobalClusteringCoefficient;5.15749944E8;0.0;5.15749944E8;5.15749944E8;
OperationNetworkAverageClusteringCoefficient;1.41691575E8;0.0;1.41691575E8;1.41691575E8;
