operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.784            0.062         0.570           0.975    
OperationDeleteGraph                                    2.562            0.000         2.562           2.562    
OperationShutdownGraph                                638.994         1923.025         0.004        9308.056    
OperationDoGC                                        3418.109            8.308      3392.302        3434.710    
OperationLoadGraphML-barabasi_2000_10000              723.951            0.000       723.951         723.951    
OperationGetManyVertices                                0.678            0.000         0.678           0.678    
OperationGetManyVertexProperties                       19.562            0.000        19.562          19.562    
OperationGetManyEdges                                   0.954            0.000         0.954           0.954    
OperationGetManyEdgeProperties                         12.096            0.000        12.096          12.096    
OperationGetFirstNeighbor                               0.024            0.010         0.016           0.276    
OperationGetRandomNeighbor                              0.029            0.013         0.013           0.261    
OperationGetAllNeighbors                                0.035            0.025         0.013           0.432    
OperationGetKFirstNeighbors                             0.035            0.018         0.013           0.325    
OperationGetKRandomNeighbors                            0.037            0.021         0.013           0.281    
OperationGetKHopNeighbors                               0.435            1.993         0.013          43.558    
OperationGetShortestPath                                2.615            7.818         0.002          60.065    
OperationGlobalClusteringCoefficient                  515.750            0.000       515.750         515.750    
OperationNetworkAverageClusteringCoefficient          141.692            0.000       141.692         141.692    
