id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];23224551;DONE;537832;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2761838;DONE;24646407;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];9707;DONE;24646407;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3395262933;DONE;19532551;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];697735;DONE;19801271;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];833246684;DONE;38882559;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2651196;DONE;38882559;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3405608442;DONE;19637647;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];869611;DONE;19906367;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];688550;1000;58902535;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];370391;DONE;58902535;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3443385234;DONE;31805151;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];546816;DONE;32311023;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];11318392;1000;57098783;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];234205;DONE;57098783;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3434954192;DONE;32163807;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];773412;DONE;32669679;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1014167;1000;49581679;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];265816;DONE;49581679;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3424773043;DONE;31771055;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];782416;DONE;32608295;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];11092564;1000;47598455;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];310047;DONE;47598455;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3426846897;DONE;31771303;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];756818;DONE;32754727;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1346];443474;v[1394];56356903;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2331];76124;DNE;56356903;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1504];38375;v[1703];56356903;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1919];66227;v[2023];56356903;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1186];37551;v[1274];56356903;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2700];93903;v[2734];56356903;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2204];35760;DNE;56356903;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1063];53797;v[1123];56356903;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1579];49030;v[1597];56356903;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1037];57802;v[1041];56356903;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2542];46426;v[2698];56356903;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1977];47703;v[2020];56356903;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2144];46859;v[2545];56356903;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2067];294260;v[2494];56356903;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2062];32539;DNE;56356903;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1304];38904;v[1365];56356903;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1450];36231;v[1877];56356903;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2948];27024;DNE;56356903;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1135];38336;v[1197];56356903;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2879];31905;DNE;56356903;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2647];31961;DNE;56356903;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2337];41441;v[2766];56356903;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[3016];31794;DNE;56356903;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1278];47337;v[1287];56356903;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1660];36093;v[1679];56356903;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1038];41845;v[1051];56356903;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2625];26824;DNE;56356903;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2755];26806;DNE;56356903;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1563];36445;v[1820];56356903;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1757];35895;v[2018];56356903;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1965];45288;v[2195];56356903;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2928];37314;DNE;56356903;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1863];47060;v[1898];56356903;
