id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];32863929;DONE;366464;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];3463069;DONE;33268047;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];10602;DONE;33268047;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3394279018;DONE;19538743;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];721659;DONE;19897023;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];980115198;DONE;38886847;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2637154;DONE;38886847;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3383882516;DONE;19643815;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];911546;DONE;20002095;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];685049;1000;58523919;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];388727;DONE;58523919;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3444069415;DONE;31776623;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];772566;DONE;32327231;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];14499695;1000;56553983;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];229817;DONE;56553983;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3410068269;DONE;31776903;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];700507;DONE;32327511;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1088258;1000;47451783;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];256639;DONE;47451783;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3401869120;DONE;31777183;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];739965;DONE;32636359;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];18599126;1000;44721711;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];251573;DONE;44721711;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3397523083;DONE;31777431;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];730870;DONE;32767279;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1828];478671;v[1941];56523631;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2606];86865;DNE;56523631;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2984];97923;v[3015];56523631;
