id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];591501;DONE;20835927;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2180762;DONE;20835927;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1664;DONE;20835927;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3407904703;DONE;19588511;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];703575;DONE;20663319;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];793394632;DONE;38935359;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];3283391;DONE;38935359;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3438646840;DONE;19613231;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2585733;DONE;20688039;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];634041;1000;58491591;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];307689;DONE;58491591;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3434553308;DONE;31786527;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];600837;DONE;32695423;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];11981800;1000;57235631;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];269787;DONE;57235631;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3433774349;DONE;31786527;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];770825;DONE;32695423;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];979808;1000;44481687;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];299560;DONE;44481687;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3423354500;DONE;31786527;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];761228;DONE;32799887;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];10818746;1000;43474439;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];316010;DONE;43474439;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3433803522;DONE;31786495;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];808237;DONE;32842807;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2845];235959;v[2855];56081671;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2756];50908;v[2994];56081671;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1449];112648;v[1535];56081671;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2249];40068;v[2373];56081671;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1614];46357;v[1781];56081671;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2492];46870;v[2828];56081671;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2722];32836;v[3007];56081671;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1965];23767;v[2195];56081671;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2660];16928;DNE;56081671;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2357];25192;v[2400];56081671;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1517];26889;v[1518];56081671;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1842];24405;v[2057];56081671;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1057];27687;v[1060];56081671;
