id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];974999;DONE;20999159;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2562236;DONE;20999159;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];3769;DONE;20999159;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3392301967;DONE;19594639;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];687451;DONE;20669447;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];723950749;DONE;38941447;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2488539;DONE;38941447;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3395640915;DONE;19619359;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];786218;DONE;20694167;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];678449;1000;58497719;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];267560;DONE;58497719;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3419513761;DONE;31792655;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];765618;DONE;32701551;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];19561657;1000;56332847;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];229719;DONE;56332847;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3422010306;DONE;31792655;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];786247;DONE;32701551;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];954368;1000;47418743;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];259860;DONE;47418743;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3420119971;DONE;31792655;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];775117;DONE;32806015;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];12095542;1000;43479815;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];451979;DONE;43479815;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3416508253;DONE;31792623;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];785064;DONE;32848935;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1105];275577;v[1122];56087799;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2425];16827;DNE;56087799;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1345];65148;v[1405];56087799;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1908];22875;v[2251];56087799;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1921];61327;v[2585];56087799;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1190];30464;v[1249];56087799;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1746];27185;v[1955];56087799;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2406];24899;v[2989];56087799;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1570];28757;v[1715];56087799;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1042];35593;v[1048];56087799;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1134];28981;v[1325];56087799;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2812];25148;v[2839];56087799;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1224];29013;v[1604];56087799;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1634];27637;v[2150];56087799;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2039];24970;v[2537];56087799;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1538];26942;v[1569];56087799;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2851];17517;DNE;56087799;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2864];17215;DNE;56087799;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1525];26517;v[1691];56087799;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1861];26281;v[2222];56087799;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2837];17473;DNE;56087799;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1310];29048;v[1343];56087799;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2701];26048;v[2703];56087799;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1305];28420;v[1389];56087799;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1478];25882;v[1928];56087799;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2251];26498;v[2509];56087799;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2746];17311;DNE;56087799;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2451];24571;v[2896];56087799;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1772];17350;DNE;56087799;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2631];17239;DNE;56087799;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1904];26477;v[2114];56087799;
