operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1.9220896E7;4.6326868878117345E7;688550.0;1.41029384E8;
OperationDeleteGraph;1879079.0;0.0;1879079.0;1879079.0;
OperationShutdownGraph;1.1341506333333334E7;4.068968188757053E7;1612.0;1.63577495E8;
OperationDoGC;3.440489031133333E9;9603631.435406545;3.418881931E9;3.453636352E9;
OperationLoadGraphML-barabasi_2000_10000;6.81556552E8;0.0;6.81556552E8;6.81556552E8;
OperationGetManyVertices;1492229.0;0.0;1492229.0;1492229.0;
OperationGetManyVertexProperties;2.0345931E7;0.0;2.0345931E7;2.0345931E7;
OperationGetManyEdges;4571895.0;0.0;4571895.0;4571895.0;
OperationGetManyEdgeProperties;2.9633125E7;0.0;2.9633125E7;2.9633125E7;
OperationGetFirstNeighbor;27007.351;9159.226030063839;11301.0;101217.0;
OperationGetRandomNeighbor;36485.994;24709.09340845924;9162.0;549499.0;
OperationGetAllNeighbors;38322.973;31027.386005306198;8931.0;355433.0;
OperationGetKFirstNeighbors;36075.411;14576.157158732873;12148.0;77564.0;
OperationGetKRandomNeighbors;40802.979;23620.557637925456;10783.0;214600.0;
OperationGetKHopNeighbors;132238.549;288896.7572638563;11120.0;5063896.0;
OperationGetShortestPath;2543447.01;7705609.595142648;10532.0;6.7801406E7;
OperationGlobalClusteringCoefficient;8.87448685E8;0.0;8.87448685E8;8.87448685E8;
OperationNetworkAverageClusteringCoefficient;2.06075579E8;0.0;2.06075579E8;2.06075579E8;
