operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                     19.221           46.327         0.689         141.029    
OperationDeleteGraph                                    1.879            0.000         1.879           1.879    
OperationShutdownGraph                                 11.342           40.690         0.002         163.577    
OperationDoGC                                        3440.489            9.604      3418.882        3453.636    
OperationLoadGraphML-barabasi_2000_10000              681.557            0.000       681.557         681.557    
OperationGetManyVertices                                1.492            0.000         1.492           1.492    
OperationGetManyVertexProperties                       20.346            0.000        20.346          20.346    
OperationGetManyEdges                                   4.572            0.000         4.572           4.572    
OperationGetManyEdgeProperties                         29.633            0.000        29.633          29.633    
OperationGetFirstNeighbor                               0.027            0.009         0.011           0.101    
OperationGetRandomNeighbor                              0.036            0.025         0.009           0.549    
OperationGetAllNeighbors                                0.038            0.031         0.009           0.355    
OperationGetKFirstNeighbors                             0.036            0.015         0.012           0.078    
OperationGetKRandomNeighbors                            0.041            0.024         0.011           0.215    
OperationGetKHopNeighbors                               0.132            0.289         0.011           5.064    
OperationGetShortestPath                                2.543            7.706         0.011          67.801    
OperationGlobalClusteringCoefficient                  887.449            0.000       887.449         887.449    
OperationNetworkAverageClusteringCoefficient          206.076            0.000       206.076         206.076    
