operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1.2465593296296297E7;4.0404040932494745E7;738205.0;1.59612131E8;
OperationDeleteGraph;2666129.0;0.0;2666129.0;2666129.0;
OperationShutdownGraph;7501654.518518519;3.575028088610456E7;2287.0;1.89771774E8;
OperationDoGC;3.4810218825185184E9;8626594.64608029;3.452417755E9;3.489501608E9;
OperationLoadGraphML-barabasi_2000_10000;6.05056355E8;0.0;6.05056355E8;6.05056355E8;
OperationGetManyVertices;1486226.0;0.0;1486226.0;1486226.0;
OperationGetManyVertexProperties;1.915895E7;0.0;1.915895E7;1.915895E7;
OperationGetManyEdges;4573520.0;0.0;4573520.0;4573520.0;
OperationGetManyEdgeProperties;2.5240008E7;0.0;2.5240008E7;2.5240008E7;
OperationGetFirstNeighbor;27392.028;8708.772831875682;11115.0;57991.0;
OperationGetRandomNeighbor;33193.11;19026.228141486685;8353.0;247580.0;
OperationGetAllNeighbors;44573.014;45015.07144856936;8352.0;743495.0;
OperationGetKFirstNeighbors;30645.139;16413.82968420468;8298.0;95386.0;
OperationGetKRandomNeighbors;38657.2952;28183.077533613276;8179.0;454404.0;
OperationGetKHopNeighbors;570324.875;2623914.594429402;8177.0;3.6404037E7;
OperationGetShortestPath;2667385.882;8530891.963705719;9802.0;6.3034714E7;
OperationGlobalClusteringCoefficient;8.96400799E8;0.0;8.96400799E8;8.96400799E8;
OperationNetworkAverageClusteringCoefficient;2.07969607E8;0.0;2.07969607E8;2.07969607E8;
