operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                     12.466           40.404         0.738         159.612    
OperationDeleteGraph                                    2.666            0.000         2.666           2.666    
OperationShutdownGraph                                  7.502           35.750         0.002         189.772    
OperationDoGC                                        3481.022            8.627      3452.418        3489.502    
OperationLoadGraphML-barabasi_2000_10000              605.056            0.000       605.056         605.056    
OperationGetManyVertices                                1.486            0.000         1.486           1.486    
OperationGetManyVertexProperties                       19.159            0.000        19.159          19.159    
OperationGetManyEdges                                   4.574            0.000         4.574           4.574    
OperationGetManyEdgeProperties                         25.240            0.000        25.240          25.240    
OperationGetFirstNeighbor                               0.027            0.009         0.011           0.058    
OperationGetRandomNeighbor                              0.033            0.019         0.008           0.248    
OperationGetAllNeighbors                                0.045            0.045         0.008           0.743    
OperationGetKFirstNeighbors                             0.031            0.016         0.008           0.095    
OperationGetKRandomNeighbors                            0.039            0.028         0.008           0.454    
OperationGetKHopNeighbors                               0.570            2.624         0.008          36.404    
OperationGetShortestPath                                2.667            8.531         0.010          63.035    
OperationGlobalClusteringCoefficient                  896.401            0.000       896.401         896.401    
OperationNetworkAverageClusteringCoefficient          207.970            0.000       207.970         207.970    
