id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];180129272;DONE;1399320;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];3208747;DONE;26407015;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];16337;DONE;26407015;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3399449089;DONE;19535911;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];162940945;DONE;19804631;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];1170573989;DONE;48333735;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];189817685;DONE;48333735;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3420911853;DONE;19649791;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1187443;DONE;20460711;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1476773;1000;61613367;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1651280;DONE;61613367;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3450759986;DONE;31823335;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1146972;DONE;32605215;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];22174782;1000;59191399;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];711362;DONE;59191399;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3436833029;DONE;31789055;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1084546;DONE;32673415;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];4519124;1000;45944183;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1248757;DONE;45944183;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3421592751;DONE;31789447;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1135848;DONE;32788567;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];25966020;1000;49779167;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];929934;DONE;49779167;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3437256778;DONE;31789703;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1372982;DONE;32838367;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1266];836626;DNE;55908975;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[392];471275;v[439];55908975;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[441];43606;v[454];55908975;
