id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];180561840;DONE;1399320;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2185430;DONE;25069831;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];7661;DONE;25069831;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3424860656;DONE;19537383;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];206358897;DONE;19806103;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];1437052823;DONE;51087111;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];189726931;DONE;51087111;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3450143886;DONE;19651263;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1130072;DONE;20462199;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1541323;1000;60596311;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1653592;DONE;60596311;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3477163142;DONE;31824807;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1142203;DONE;32613047;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];26137292;1000;59415399;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];604386;DONE;59415399;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3482737524;DONE;31790463;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1127665;DONE;32678959;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];4702633;1000;45137255;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1062194;DONE;45137255;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3465571703;DONE;31790855;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1180798;DONE;32794655;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];25909536;1000;49879175;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];937075;DONE;49879175;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3472954459;DONE;31791111;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1135722;DONE;32844679;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1299];1328075;v[1502];56023175;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1270];77802;v[1398];56023175;
