id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];133528787;DONE;20860079;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];1879079;DONE;20860079;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1612;DONE;20860079;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3418881931;DONE;19605303;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];141029384;DONE;20680111;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];681556552;DONE;45767439;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];163577495;DONE;45767439;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3424611734;DONE;19630263;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1341366;DONE;20705071;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1492229;1000;60708527;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1705240;DONE;60708527;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3453636352;DONE;31800271;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1119772;DONE;32765023;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];20345931;1000;58815359;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];638015;DONE;58815359;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3449770585;DONE;31800303;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];688550;DONE;32803535;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];4571895;1000;47778367;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1225610;DONE;47778367;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3444337572;DONE;31800415;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1151805;DONE;32853391;
