id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];150892131;DONE;20864535;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2666129;DONE;20864535;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2287;DONE;20864535;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3457896407;DONE;19606711;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];159612131;DONE;20681519;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];605056355;DONE;45745935;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];189771774;DONE;45745935;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3452417755;DONE;19631671;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1183292;DONE;20706479;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1486226;1000;60710007;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1486978;DONE;60710007;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3486048122;DONE;31801679;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1167294;DONE;32766431;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];19158950;1000;58816255;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];695457;DONE;58816255;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3480494448;DONE;31801711;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1148702;DONE;32804951;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];4573520;1000;43581775;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1084458;DONE;43581775;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3471156097;DONE;31801823;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];738205;DONE;32854807;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];25240008;1000;48103471;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1004002;DONE;48103471;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3485937136;DONE;31801799;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];757540;DONE;32876999;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1258];57991;DNE;56531399;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[302];37042;v[405];56531399;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1369];45101;v[1411];56531399;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1593];24911;DNE;56531399;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1004];32343;v[1175];56531399;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1828];34642;DNE;56531399;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1668];24072;DNE;56531399;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[899];18089;v[1658];56531399;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1714];18685;DNE;56531399;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1128];24389;v[1136];56531399;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[279];24721;v[446];56531399;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[860];25052;v[895];56531399;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1516];11978;DNE;56531399;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1685];23989;v[1686];56531399;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[161];25549;v[219];56531399;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1801];17600;DNE;56531399;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1154];17973;v[1318];56531399;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1303];18629;v[1516];56531399;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1934];17566;DNE;56531399;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1868];16853;DNE;56531399;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[665];24366;v[673];56531399;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[321];25067;v[334];56531399;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1183];24815;v[1421];56531399;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[137];24848;v[144];56531399;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[744];18614;v[1068];56531399;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[942];30723;v[1172];56531399;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1218];27411;v[1758];56531399;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[484];24844;v[500];56531399;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1269];24758;v[1325];56531399;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1101];23802;v[1494];56531399;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1249];18041;DNE;56531399;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[89];17980;v[129];56531399;
