operation;hollow-mean;hollow-stdev;hollow-min;hollow-max;
OperationOpenGraph;14107.6;18817.946897576265;5164.0;73095.0;
OperationDeleteGraph;1400452.0;0.0;1400452.0;1400452.0;
OperationShutdownGraph;2205.3333333333335;630.2823353245926;1472.0;3506.0;
OperationDoGC;3.3962644106E9;5608556.649064556;3.387250981E9;3.40559694E9;
OperationLoadGraphML-barabasi_2000_10000;1.70752235E8;0.0;1.70752235E8;1.70752235E8;
OperationGetManyVertices;121123.0;0.0;121123.0;121123.0;
OperationGetManyVertexProperties;268364.0;0.0;268364.0;268364.0;
OperationGetManyEdges;443761.0;0.0;443761.0;443761.0;
OperationGetManyEdgeProperties;127232.0;0.0;127232.0;127232.0;
OperationGetFirstNeighbor;12873.577;4735.451039560114;5799.0;50727.0;
OperationGetRandomNeighbor;16834.18;13261.920262450682;761.0;367929.0;
OperationGetAllNeighbors;5504.432;4412.150187762877;683.0;128899.0;
OperationGetKFirstNeighbors;5450.59;1069.064719228916;3562.0;25349.0;
OperationGetKRandomNeighbors;8020.002;2418.6077838285387;4780.0;25984.0;
OperationGetKHopNeighbors;13738.558;7762.516216835622;2741.0;39108.0;
OperationGetShortestPath;20276.064;5848.485602265258;9895.0;115094.0;
OperationGlobalClusteringCoefficient;1.7260377E7;0.0;1.7260377E7;1.7260377E7;
OperationNetworkAverageClusteringCoefficient;1.4236034E7;0.0;1.4236034E7;1.4236034E7;
