id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2007336;DONE;0;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];1182346;DONE;25030335;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];12699;DONE;25030335;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3381721122;DONE;19531535;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];55079;DONE;19889815;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];580728110;DONE;32072927;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1943;DONE;32072927;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3399205829;DONE;19633447;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6946;DONE;19991727;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];177889;1000;19991727;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2023;DONE;19991727;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3392856105;DONE;19633727;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6732;DONE;19992007;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];204557;1000;19992007;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2136;DONE;19992007;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3395283448;DONE;19634007;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];5302;DONE;19992287;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];471530;1000;34585071;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1236;DONE;34585071;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3408827416;DONE;19598223;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6250;DONE;20437391;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];144250;1000;33375599;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1092;DONE;33375599;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3402869272;DONE;19598471;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6923;DONE;20577679;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];1085101;v[383];20577679;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];22286;v[451];20577679;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];20954;v[613];20577679;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];20450;v[502];20577679;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];17197;DNE;20577679;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];20613;v[1299];20577679;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];20278;v[781];20577679;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];20535;v[522];20577679;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];20607;v[1452];20577679;
