id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];73095;DONE;20838007;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];1400452;DONE;20838007;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2497;DONE;20838007;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3403824162;DONE;19581751;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];48187;DONE;20656559;
5;OperationLoadGraphML-barabasi_2000_10000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_2000_10000.graphml];170752235;DONE;32479527;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2133;DONE;32479527;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3405596940;DONE;19606743;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7005;DONE;20681551;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];121123;1000;20681551;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2357;DONE;20681551;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3398714020;DONE;19606743;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6780;DONE;20681551;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];268364;1000;20681551;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];3302;DONE;20681551;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3397768443;DONE;19606743;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6706;DONE;20681551;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];443761;1000;33640999;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1721;DONE;33640999;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3403791473;DONE;19606743;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7121;DONE;20681551;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];127232;1000;34724135;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1804;DONE;34724135;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3396082366;DONE;19606711;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6714;DONE;20681519;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];19287;v[1782];20681519;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];13246;v[1906];20681519;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];6225;DNE;20681519;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12447;v[1938];20681519;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12351;v[633];20681519;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12552;v[1147];20681519;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12409;v[1431];20681519;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];26343;v[1303];20681519;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12231;v[1232];20681519;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];25413;v[1248];20681519;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];28601;v[1384];20681519;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];24946;v[1558];20681519;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];50727;v[187];20681519;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12252;v[429];20681519;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12345;v[1157];20681519;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12292;v[1899];20681519;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12185;v[1952];20681519;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];25064;v[820];20681519;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];28473;v[1686];20681519;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12779;v[259];20681519;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];28525;v[865];20681519;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];28415;v[1670];20681519;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];28336;v[1772];20681519;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];28182;v[50];20681519;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];27957;v[690];20681519;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];28456;v[1081];20681519;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];28237;v[1815];20681519;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];27987;v[602];20681519;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[0];12168;v[1376];20681519;
